D_          0 ,QI_          0 ,QF_          0 ,D_          1 ,QI_          1 ,QF_          1 ,D_          2 ,QI_          2 ,QF_          2 ,D_          3 ,QI_          3 ,QF_          3 ,D_          4 ,QI_          4 ,QF_          4 ,D_          5 ,QI_          5 ,QF_          5 ,D_          6 ,QI_          6 ,QF_          6 ,D_          7 ,QI_          7 ,QF_          7
dd28 , 1 ,15 ,205e , 1 ,15 ,0fe8 , 1 ,15 ,4186 , 2 ,14 ,fc08 , 1 ,15 ,dece , 1 ,15 ,6a77 , 2 ,14 ,65ec , 1 ,15 
2b8c , 1 ,15 ,faf6 , 1 ,15 ,909a , 1 ,15 ,89a0 , 1 ,15 ,bc4a , 2 ,14 ,d742 , 1 ,15 ,acf2 , 1 ,15 ,e0ca , 1 ,15 
6379 , 2 ,14 ,bc12 , 3 ,13 ,b256 , 1 ,15 ,a8e3 , 2 ,14 ,624a , 1 ,15 ,bfb4 , 2 ,14 ,823e , 1 ,15 ,3644 , 1 ,15 
ad6a , 1 ,15 ,0e12 , 1 ,15 ,2066 , 1 ,15 ,c432 , 1 ,15 ,476b , 2 ,14 ,1e9e , 1 ,15 ,4536 , 3 ,13 ,bf55 , 2 ,14 
c16e , 1 ,15 ,cf6a , 1 ,15 ,b5ec , 2 ,14 ,0974 , 1 ,15 ,9e14 , 1 ,15 ,27b8 , 1 ,15 ,b55c , 1 ,15 ,003e , 1 ,15 
65e8 , 2 ,14 ,c58e , 1 ,15 ,af3d , 2 ,14 ,982d , 2 ,14 ,9550 , 2 ,14 ,65de , 1 ,15 ,33ec , 1 ,15 ,326c , 1 ,15 
5776 , 1 ,15 ,4669 , 2 ,14 ,c698 , 1 ,15 ,5a30 , 1 ,15 ,b5ec , 1 ,15 ,adca , 1 ,15 ,6626 , 1 ,15 ,f390 , 1 ,15 
6b9e , 1 ,15 ,f6e2 , 1 ,15 ,bee8 , 1 ,15 ,4356 , 1 ,15 ,9cb4 , 2 ,14 ,5b70 , 2 ,14 ,f958 , 1 ,15 ,b416 , 2 ,14 
1006 , 1 ,15 ,9b1e , 1 ,15 ,43df , 2 ,14 ,f7a0 , 1 ,15 ,e3bc , 1 ,15 ,ba64 , 1 ,15 ,a38d , 2 ,14 ,7b37 , 2 ,14 
bb14 , 1 ,15 ,7b2c , 2 ,14 ,96fd , 2 ,14 ,6a90 , 1 ,15 ,5e4d , 2 ,14 ,83e4 , 2 ,14 ,a3ec , 1 ,15 ,a07c , 2 ,14 
b8e2 , 2 ,14 ,9194 , 1 ,15 ,56d8 , 2 ,14 ,54ea , 1 ,15 ,40b2 , 1 ,15 ,679e , 1 ,15 ,b9c2 , 2 ,14 ,432c , 1 ,15 
f5d2 , 1 ,15 ,c20c , 1 ,15 ,9b08 , 2 ,14 ,6e7c , 1 ,15 ,b5a5 , 2 ,14 ,badc , 1 ,15 ,6c5a , 1 ,15 ,5cde , 3 ,13 
d848 , 1 ,15 ,8ec6 , 1 ,15 ,71bc , 2 ,14 ,51cc , 2 ,14 ,65a2 , 1 ,15 ,426a , 1 ,15 ,4049 , 2 ,14 ,69c4 , 1 ,15 
2e80 , 1 ,15 ,dd12 , 1 ,15 ,4de4 , 1 ,15 ,9a38 , 1 ,15 ,4925 , 2 ,14 ,de98 , 1 ,15 ,419a , 1 ,15 ,4100 , 1 ,15 
c1f2 , 1 ,15 ,3434 , 1 ,15 ,456e , 2 ,14 ,916b , 2 ,14 ,a720 , 2 ,14 ,4fa6 , 2 ,14 ,cd04 , 1 ,15 ,4196 , 1 ,15 
7240 , 1 ,15 ,0338 , 1 ,15 ,dfb4 , 1 ,15 ,05c2 , 1 ,15 ,4d3b , 2 ,14 ,ca20 , 1 ,15 ,09e6 , 1 ,15 ,a3ff , 2 ,14 
afb0 , 2 ,14 ,d60a , 1 ,15 ,3468 , 1 ,15 ,bfa8 , 1 ,15 ,5f22 , 1 ,15 ,d8d8 , 1 ,15 ,1052 , 1 ,15 ,6b84 , 1 ,15 
002e , 1 ,15 ,f3c0 , 1 ,15 ,b790 , 1 ,15 ,aace , 1 ,15 ,a75e , 1 ,15 ,e1d4 , 1 ,15 ,b39f , 3 ,13 ,4474 , 1 ,15 
1c4c , 1 ,15 ,5b16 , 2 ,14 ,22ac , 1 ,15 ,5a58 , 2 ,14 ,2b96 , 1 ,15 ,0c0e , 1 ,15 ,4253 , 2 ,14 ,ef5a , 1 ,15 
a6e8 , 1 ,15 ,fba2 , 1 ,15 ,bb4a , 1 ,15 ,a878 , 2 ,14 ,0420 , 1 ,15 ,00cc , 1 ,15 ,753e , 1 ,15 ,7d34 , 2 ,14 
6d40 , 1 ,15 ,6fcc , 2 ,14 ,602a , 1 ,15 ,58ed , 2 ,14 ,917e , 2 ,14 ,b867 , 3 ,13 ,ec7e , 1 ,15 ,73a8 , 1 ,15 
3120 , 1 ,15 ,e394 , 1 ,15 ,9ccc , 1 ,15 ,40a1 , 2 ,14 ,9e9e , 2 ,14 ,f0fa , 1 ,15 ,9d30 , 2 ,14 ,7034 , 2 ,14 
209e , 1 ,15 ,29ba , 1 ,15 ,b950 , 1 ,15 ,2758 , 1 ,15 ,eb12 , 1 ,15 ,ed54 , 1 ,15 ,87a4 , 1 ,15 ,49b0 , 2 ,14 
6471 , 2 ,14 ,ad3a , 2 ,14 ,3678 , 1 ,15 ,ebc8 , 1 ,15 ,9bc0 , 1 ,15 ,f662 , 1 ,15 ,32c0 , 1 ,15 ,a16a , 2 ,14 
02ba , 1 ,15 ,868b , 2 ,14 ,949c , 2 ,14 ,b299 , 2 ,14 ,712e , 1 ,15 ,6742 , 2 ,14 ,7a14 , 1 ,15 ,3d92 , 1 ,15 
4374 , 1 ,15 ,73d8 , 1 ,15 ,0ea0 , 1 ,15 ,251a , 1 ,15 ,ad45 , 2 ,14 ,632e , 1 ,15 ,a9a4 , 2 ,14 ,cffc , 1 ,15 
25d2 , 1 ,15 ,d4ae , 1 ,15 ,5e6d , 2 ,14 ,b8c8 , 2 ,14 ,2772 , 1 ,15 ,4992 , 1 ,15 ,cf92 , 1 ,15 ,e226 , 1 ,15 
484a , 1 ,15 ,eff4 , 1 ,15 ,1bd0 , 1 ,15 ,18c8 , 1 ,15 ,4a0d , 2 ,14 ,9e6e , 1 ,15 ,2f08 , 1 ,15 ,840e , 1 ,15 
4fac , 1 ,15 ,ef9e , 1 ,15 ,95e6 , 1 ,15 ,9a38 , 1 ,15 ,0ff2 , 1 ,15 ,6ca2 , 1 ,15 ,8151 , 2 ,14 ,b819 , 2 ,14 
7d8e , 2 ,14 ,5e5a , 1 ,15 ,7d12 , 1 ,15 ,8129 , 2 ,14 ,40b2 , 1 ,15 ,975c , 1 ,15 ,4bd2 , 1 ,15 ,41f6 , 1 ,15 
1c84 , 1 ,15 ,3596 , 1 ,15 ,ac1c , 2 ,14 ,4afb , 2 ,14 ,bb88 , 2 ,14 ,b3cc , 1 ,15 ,6e86 , 1 ,15 ,b49c , 1 ,15 
79c2 , 2 ,14 ,6c90 , 1 ,15 ,e752 , 1 ,15 ,3440 , 1 ,15 ,176e , 1 ,15 ,2c70 , 1 ,15 ,0664 , 1 ,15 ,d46a , 1 ,15 
b8f2 , 1 ,15 ,d6cc , 1 ,15 ,b55e , 2 ,14 ,597a , 2 ,14 ,8b00 , 1 ,15 ,b068 , 1 ,15 ,f85a , 1 ,15 ,9696 , 1 ,15 
64f0 , 1 ,15 ,d1b4 , 1 ,15 ,484f , 3 ,13 ,55fe , 1 ,15 ,bec6 , 2 ,14 ,942e , 1 ,15 ,40ce , 2 ,14 ,e3d2 , 1 ,15 
b496 , 2 ,14 ,ee52 , 1 ,15 ,71b0 , 1 ,15 ,8e0c , 2 ,14 ,4954 , 2 ,14 ,44a4 , 3 ,13 ,c566 , 1 ,15 ,0c08 , 1 ,15 
728c , 1 ,15 ,f0c2 , 1 ,15 ,2ce6 , 1 ,15 ,1fc0 , 1 ,15 ,b1f6 , 1 ,15 ,ec82 , 1 ,15 ,1548 , 1 ,15 ,b7b0 , 1 ,15 
4831 , 2 ,14 ,2126 , 1 ,15 ,4033 , 2 ,14 ,96a8 , 1 ,15 ,331e , 1 ,15 ,2196 , 1 ,15 ,199e , 1 ,15 ,d914 , 1 ,15 
2dea , 1 ,15 ,7120 , 2 ,14 ,1576 , 1 ,15 ,41d8 , 1 ,15 ,8b58 , 1 ,15 ,4379 , 2 ,14 ,4b48 , 1 ,15 ,91de , 1 ,15 
23ee , 1 ,15 ,d6b8 , 1 ,15 ,33ba , 1 ,15 ,9310 , 1 ,15 ,4589 , 2 ,14 ,a5fc , 1 ,15 ,689c , 1 ,15 ,51f0 , 1 ,15 
a3f6 , 1 ,15 ,55fc , 2 ,14 ,c70c , 1 ,15 ,4048 , 2 ,14 ,71fe , 1 ,15 ,4236 , 1 ,15 ,7f04 , 2 ,14 ,859c , 1 ,15 
4d86 , 2 ,14 ,4728 , 1 ,15 ,870a , 1 ,15 ,b66a , 2 ,14 ,6184 , 1 ,15 ,86e6 , 1 ,15 ,b8f0 , 1 ,15 ,5b50 , 1 ,15 
f416 , 1 ,15 ,c84c , 1 ,15 ,97ce , 2 ,14 ,fcca , 1 ,15 ,945a , 1 ,15 ,bb0a , 2 ,14 ,70fe , 1 ,15 ,1224 , 1 ,15 
bf75 , 2 ,14 ,1c52 , 1 ,15 ,a9e8 , 2 ,14 ,4112 , 1 ,15 ,8924 , 2 ,14 ,9770 , 1 ,15 ,5c71 , 2 ,14 ,be41 , 2 ,14 
4958 , 1 ,15 ,c4b4 , 1 ,15 ,7528 , 2 ,14 ,336a , 1 ,15 ,b0f0 , 1 ,15 ,27a2 , 1 ,15 ,ed52 , 1 ,15 ,2cc6 , 1 ,15 
1a78 , 1 ,15 ,5781 , 2 ,14 ,4a32 , 1 ,15 ,0f42 , 1 ,15 ,1002 , 1 ,15 ,486a , 2 ,14 ,7fc4 , 1 ,15 ,70da , 1 ,15 
8f4a , 1 ,15 ,0bb0 , 1 ,15 ,66b4 , 1 ,15 ,a969 , 2 ,14 ,f386 , 1 ,15 ,fd8c , 1 ,15 ,68a4 , 2 ,14 ,3a50 , 1 ,15 
1d20 , 1 ,15 ,dce4 , 1 ,15 ,9dd2 , 2 ,14 ,f2d2 , 1 ,15 ,12c0 , 1 ,15 ,d3bc , 1 ,15 ,32ec , 1 ,15 ,acb3 , 2 ,14 
2696 , 1 ,15 ,b0d8 , 2 ,14 ,9dee , 1 ,15 ,8260 , 1 ,15 ,bc14 , 2 ,14 ,be69 , 2 ,14 ,d512 , 1 ,15 ,489b , 2 ,14 
be08 , 2 ,14 ,16d4 , 1 ,15 ,43e7 , 2 ,14 ,9706 , 1 ,15 ,4707 , 2 ,14 ,d310 , 1 ,15 ,b522 , 1 ,15 ,86ea , 1 ,15 
1cea , 1 ,15 ,d2a2 , 1 ,15 ,7f34 , 1 ,15 ,99f4 , 1 ,15 ,bf2e , 3 ,13 ,1176 , 1 ,15 ,41b6 , 1 ,15 ,933a , 1 ,15 
bf36 , 1 ,15 ,a25d , 2 ,14 ,0e30 , 1 ,15 ,86f0 , 1 ,15 ,9d53 , 2 ,14 ,2b16 , 1 ,15 ,9908 , 1 ,15 ,bde6 , 1 ,15 
b73a , 2 ,14 ,3914 , 1 ,15 ,64ed , 2 ,14 ,5904 , 1 ,15 ,04a2 , 1 ,15 ,6850 , 2 ,14 ,187a , 1 ,15 ,e140 , 1 ,15 
41ce , 1 ,15 ,856a , 1 ,15 ,853a , 1 ,15 ,28cc , 1 ,15 ,60b6 , 1 ,15 ,4fc9 , 2 ,14 ,6cd8 , 2 ,14 ,475d , 2 ,14 
ab73 , 2 ,14 ,26ca , 1 ,15 ,b91a , 1 ,15 ,0e6e , 1 ,15 ,963a , 1 ,15 ,4cac , 1 ,15 ,015e , 1 ,15 ,90fc , 1 ,15 
46ec , 1 ,15 ,6a0a , 1 ,15 ,f214 , 1 ,15 ,c058 , 1 ,15 ,bc25 , 2 ,14 ,461c , 2 ,14 ,7090 , 1 ,15 ,4f3e , 3 ,13 
a566 , 1 ,15 ,9e4a , 1 ,15 ,46b0 , 1 ,15 ,adec , 1 ,15 ,cac0 , 1 ,15 ,9556 , 1 ,15 ,4d7c , 1 ,15 ,614d , 2 ,14 
1e70 , 1 ,15 ,f47e , 1 ,15 ,5d56 , 1 ,15 ,f72a , 1 ,15 ,bbe6 , 1 ,15 ,2524 , 1 ,15 ,4776 , 1 ,15 ,4622 , 2 ,14 
a13c , 1 ,15 ,3dc4 , 1 ,15 ,4fec , 2 ,14 ,ccb6 , 1 ,15 ,38d8 , 1 ,15 ,bc9e , 2 ,14 ,fd36 , 1 ,15 ,ee4a , 1 ,15 
d79c , 1 ,15 ,bb08 , 2 ,14 ,8cc6 , 1 ,15 ,baff , 3 ,13 ,5cec , 1 ,15 ,b8cf , 3 ,13 ,85c2 , 1 ,15 ,6308 , 2 ,14 
a230 , 1 ,15 ,6b68 , 1 ,15 ,8726 , 1 ,15 ,b754 , 1 ,15 ,bf40 , 1 ,15 ,58ac , 1 ,15 ,b416 , 2 ,14 ,3a6e , 1 ,15 
544c , 1 ,15 ,c232 , 1 ,15 ,054a , 1 ,15 ,de40 , 1 ,15 ,c4ee , 1 ,15 ,fcf6 , 1 ,15 ,0d84 , 1 ,15 ,5f00 , 1 ,15 
4458 , 3 ,13 ,b2be , 1 ,15 ,a492 , 2 ,14 ,d878 , 2 ,14 ,2fb4 , 1 ,15 ,a35e , 1 ,15 ,6ca2 , 2 ,14 ,2d2e , 1 ,15 
e402 , 1 ,15 ,0fb8 , 1 ,15 ,46d7 , 2 ,14 ,44b7 , 2 ,14 ,6080 , 2 ,14 ,8e4b , 2 ,14 ,3226 , 1 ,15 ,abbc , 1 ,15 
4351 , 3 ,13 ,b2e4 , 1 ,15 ,dd62 , 1 ,15 ,93f8 , 2 ,14 ,b916 , 3 ,13 ,1fde , 1 ,15 ,655e , 1 ,15 ,0546 , 1 ,15 
4ca2 , 1 ,15 ,c440 , 1 ,15 ,4cd4 , 1 ,15 ,11a0 , 1 ,15 ,0b04 , 1 ,15 ,46fc , 1 ,15 ,d7ec , 1 ,15 ,c85c , 1 ,15 
2faa , 1 ,15 ,4bf2 , 3 ,13 ,78c0 , 1 ,15 ,92cb , 2 ,14 ,9985 , 2 ,14 ,1488 , 1 ,15 ,eb5a , 1 ,15 ,6f44 , 1 ,15 
c9da , 1 ,15 ,35e2 , 1 ,15 ,640c , 1 ,15 ,4290 , 1 ,15 ,b978 , 1 ,15 ,6322 , 1 ,15 ,44a2 , 1 ,15 ,98c0 , 2 ,14 
5958 , 2 ,14 ,70d7 , 2 ,14 ,5f5e , 2 ,14 ,9e50 , 1 ,15 ,1e58 , 1 ,15 ,4d30 , 2 ,14 ,be44 , 1 ,15 ,b004 , 1 ,15 
beda , 1 ,15 ,be4b , 2 ,14 ,ae34 , 1 ,15 ,b2d2 , 1 ,15 ,24d2 , 1 ,15 ,225a , 1 ,15 ,a20a , 1 ,15 ,4232 , 1 ,15 
8716 , 1 ,15 ,be77 , 2 ,14 ,976c , 2 ,14 ,b796 , 1 ,15 ,e272 , 1 ,15 ,b4b0 , 2 ,14 ,41c0 , 1 ,15 ,edc0 , 1 ,15 
44a6 , 1 ,15 ,bbca , 1 ,15 ,761a , 1 ,15 ,12ee , 1 ,15 ,89b6 , 1 ,15 ,7280 , 1 ,15 ,d7d0 , 1 ,15 ,b5c2 , 1 ,15 
1142 , 1 ,15 ,b918 , 2 ,14 ,ba66 , 3 ,13 ,e074 , 1 ,15 ,9da3 , 2 ,14 ,6bf6 , 1 ,15 ,429e , 1 ,15 ,6e15 , 2 ,14 
22c6 , 1 ,15 ,45e5 , 2 ,14 ,4842 , 2 ,14 ,86ee , 1 ,15 ,110a , 1 ,15 ,7c66 , 1 ,15 ,dbca , 1 ,15 ,c948 , 1 ,15 
151a , 1 ,15 ,b4e3 , 2 ,14 ,a980 , 1 ,15 ,8966 , 1 ,15 ,e48c , 1 ,15 ,a1b8 , 1 ,15 ,aff2 , 1 ,15 ,ae8c , 1 ,15 
5b72 , 1 ,15 ,9d90 , 1 ,15 ,8c44 , 1 ,15 ,2340 , 1 ,15 ,dc9a , 1 ,15 ,0362 , 1 ,15 ,e104 , 1 ,15 ,6bf8 , 1 ,15 
f380 , 1 ,15 ,b82b , 2 ,14 ,afe7 , 2 ,14 ,f26e , 1 ,15 ,4401 , 2 ,14 ,9234 , 1 ,15 ,b83f , 3 ,13 ,9570 , 1 ,15 
935f , 2 ,14 ,d630 , 1 ,15 ,1e14 , 1 ,15 ,9c06 , 1 ,15 ,5969 , 2 ,14 ,2e64 , 1 ,15 ,1f6a , 1 ,15 ,17ac , 1 ,15 
755e , 1 ,15 ,8bfe , 2 ,14 ,3078 , 1 ,15 ,4b72 , 2 ,14 ,6c89 , 2 ,14 ,39a6 , 1 ,15 ,8352 , 1 ,15 ,4a9b , 3 ,13 
87ec , 2 ,14 ,5a0c , 1 ,15 ,748f , 2 ,14 ,dc46 , 1 ,15 ,e890 , 1 ,15 ,e7c4 , 1 ,15 ,a1fa , 1 ,15 ,b4c6 , 3 ,13 
7c0c , 2 ,14 ,b422 , 2 ,14 ,6eb6 , 1 ,15 ,6644 , 3 ,13 ,6f3e , 2 ,14 ,be0b , 3 ,13 ,68ad , 2 ,14 ,c6aa , 1 ,15 
343a , 1 ,15 ,4853 , 2 ,14 ,a834 , 2 ,14 ,0746 , 1 ,15 ,1ef0 , 1 ,15 ,4f02 , 1 ,15 ,ca48 , 1 ,15 ,d94c , 1 ,15 
ad68 , 1 ,15 ,bba5 , 2 ,14 ,a640 , 1 ,15 ,f97a , 1 ,15 ,8484 , 1 ,15 ,a0b7 , 2 ,14 ,3be6 , 1 ,15 ,025c , 1 ,15 
b10e , 1 ,15 ,bfe6 , 1 ,15 ,f5aa , 1 ,15 ,1982 , 1 ,15 ,d872 , 1 ,15 ,57fa , 1 ,15 ,6892 , 1 ,15 ,6343 , 2 ,14 
cce8 , 1 ,15 ,a806 , 1 ,15 ,54d6 , 1 ,15 ,9ba0 , 1 ,15 ,ca6c , 1 ,15 ,fabc , 1 ,15 ,5c57 , 2 ,14 ,1e6a , 1 ,15 
0dd0 , 1 ,15 ,bc4f , 3 ,13 ,7a4a , 1 ,15 ,89b0 , 1 ,15 ,bddc , 1 ,15 ,0e10 , 1 ,15 ,4ade , 2 ,14 ,26f8 , 1 ,15 
5654 , 2 ,14 ,4d09 , 2 ,14 ,ee40 , 1 ,15 ,3336 , 1 ,15 ,73c6 , 1 ,15 ,b522 , 2 ,14 ,0746 , 1 ,15 ,e6b2 , 1 ,15 
56a0 , 2 ,14 ,ab4e , 1 ,15 ,8058 , 1 ,15 ,4803 , 2 ,14 ,5899 , 2 ,14 ,ba39 , 2 ,14 ,7a2a , 2 ,14 ,4474 , 2 ,14 
57df , 2 ,14 ,3ea4 , 1 ,15 ,5bb0 , 1 ,15 ,5fc9 , 3 ,13 ,3e6c , 1 ,15 ,65a0 , 1 ,15 ,bee1 , 2 ,14 ,42e3 , 2 ,14 
c0c2 , 1 ,15 ,c60a , 1 ,15 ,f3c2 , 1 ,15 ,c96e , 1 ,15 ,2eae , 1 ,15 ,5993 , 2 ,14 ,6a38 , 2 ,14 ,eeca , 1 ,15 
2024 , 1 ,15 ,ffc4 , 1 ,15 ,ad7e , 1 ,15 ,289a , 1 ,15 ,22f8 , 1 ,15 ,7842 , 2 ,14 ,bd5a , 1 ,15 ,a998 , 1 ,15 
acc0 , 1 ,15 ,9874 , 1 ,15 ,0e42 , 1 ,15 ,e686 , 1 ,15 ,af6e , 1 ,15 ,50e1 , 2 ,14 ,21ae , 1 ,15 ,9a04 , 1 ,15 
bbb4 , 2 ,14 ,8a5b , 2 ,14 ,4222 , 1 ,15 ,8f46 , 1 ,15 ,3746 , 1 ,15 ,bfd0 , 1 ,15 ,a3ee , 2 ,14 ,a826 , 2 ,14 
3f86 , 1 ,15 ,b674 , 2 ,14 ,4190 , 1 ,15 ,5050 , 2 ,14 ,9ee4 , 1 ,15 ,40ce , 3 ,13 ,5de8 , 1 ,15 ,473b , 2 ,14 
308e , 1 ,15 ,ec1a , 1 ,15 ,33dc , 1 ,15 ,1cbc , 1 ,15 ,4bc4 , 2 ,14 ,cec8 , 1 ,15 ,6d66 , 1 ,15 ,09b0 , 1 ,15 
8c3e , 1 ,15 ,532d , 3 ,13 ,9c6a , 1 ,15 ,5b72 , 1 ,15 ,c0e8 , 1 ,15 ,cf46 , 1 ,15 ,008e , 1 ,15 ,53f0 , 1 ,15 
6ede , 2 ,14 ,2400 , 1 ,15 ,eb5a , 1 ,15 ,102e , 1 ,15 ,8642 , 2 ,14 ,59ee , 2 ,14 ,e70e , 1 ,15 ,d094 , 1 ,15 
ecec , 1 ,15 ,9488 , 1 ,15 ,984d , 2 ,14 ,7aa4 , 1 ,15 ,3184 , 1 ,15 ,b02f , 2 ,14 ,d1cc , 1 ,15 ,63aa , 2 ,14 
449c , 1 ,15 ,d5c6 , 1 ,15 ,ba82 , 1 ,15 ,3648 , 1 ,15 ,22dc , 1 ,15 ,3392 , 1 ,15 ,a19a , 1 ,15 ,bcd0 , 1 ,15 
feb2 , 1 ,15 ,5cc2 , 1 ,15 ,93f2 , 1 ,15 ,52c8 , 1 ,15 ,d4e4 , 1 ,15 ,af8c , 1 ,15 ,19fa , 1 ,15 ,83ea , 1 ,15 
1ebc , 1 ,15 ,b295 , 2 ,14 ,9360 , 1 ,15 ,5860 , 2 ,14 ,913e , 1 ,15 ,79bc , 2 ,14 ,bed3 , 3 ,13 ,21b2 , 1 ,15 
42f1 , 2 ,14 ,f2b2 , 1 ,15 ,5b3c , 1 ,15 ,4e1e , 1 ,15 ,a43e , 1 ,15 ,e436 , 1 ,15 ,5682 , 1 ,15 ,e072 , 1 ,15 
9264 , 1 ,15 ,1786 , 1 ,15 ,204a , 1 ,15 ,b3ba , 1 ,15 ,a0ea , 1 ,15 ,3364 , 1 ,15 ,2722 , 1 ,15 ,0020 , 1 ,15 
4882 , 2 ,14 ,5afa , 1 ,15 ,ae78 , 1 ,15 ,4bdc , 1 ,15 ,ca3e , 1 ,15 ,f11a , 1 ,15 ,c586 , 1 ,15 ,3ac6 , 1 ,15 
38fc , 1 ,15 ,4628 , 1 ,15 ,dbd0 , 1 ,15 ,e606 , 1 ,15 ,bd7a , 1 ,15 ,bf95 , 2 ,14 ,abee , 1 ,15 ,40a4 , 2 ,14 
cf3a , 1 ,15 ,8742 , 2 ,14 ,5ab6 , 2 ,14 ,77d6 , 1 ,15 ,a4f2 , 1 ,15 ,aed1 , 2 ,14 ,de2c , 1 ,15 ,fbe0 , 1 ,15 
cb1a , 1 ,15 ,bae2 , 1 ,15 ,72ca , 1 ,15 ,022a , 1 ,15 ,2a76 , 1 ,15 ,6544 , 1 ,15 ,50a2 , 2 ,14 ,44fd , 2 ,14 
9ef6 , 1 ,15 ,6ef1 , 2 ,14 ,b342 , 2 ,14 ,bdbb , 2 ,14 ,ba89 , 2 ,14 ,9f62 , 1 ,15 ,7a98 , 1 ,15 ,b641 , 3 ,13 
b43a , 2 ,14 ,9966 , 2 ,14 ,9c88 , 1 ,15 ,b7c0 , 2 ,14 ,1c40 , 1 ,15 ,9efd , 2 ,14 ,3764 , 1 ,15 ,9148 , 2 ,14 
bcb4 , 3 ,13 ,b843 , 3 ,13 ,4c9e , 2 ,14 ,554c , 1 ,15 ,468f , 2 ,14 ,3aa2 , 1 ,15 ,dc56 , 1 ,15 ,743a , 1 ,15 
6fb2 , 1 ,15 ,a314 , 1 ,15 ,ca68 , 1 ,15 ,baf3 , 2 ,14 ,5688 , 1 ,15 ,fa54 , 1 ,15 ,1d7e , 1 ,15 ,2e14 , 1 ,15 
a12a , 2 ,14 ,bd68 , 2 ,14 ,5ba6 , 1 ,15 ,8944 , 1 ,15 ,971a , 2 ,14 ,a2dc , 2 ,14 ,346a , 1 ,15 ,aade , 1 ,15 
558c , 2 ,14 ,741c , 1 ,15 ,d9ea , 1 ,15 ,d936 , 1 ,15 ,4afc , 1 ,15 ,428e , 2 ,14 ,03ee , 1 ,15 ,87b6 , 1 ,15 
7540 , 1 ,15 ,0f32 , 1 ,15 ,dae6 , 1 ,15 ,dc02 , 1 ,15 ,f5b4 , 1 ,15 ,7a10 , 1 ,15 ,571a , 1 ,15 ,e452 , 1 ,15 
fe7c , 1 ,15 ,4cfc , 1 ,15 ,7269 , 2 ,14 ,b2d3 , 2 ,14 ,8ca2 , 1 ,15 ,97f0 , 1 ,15 ,9670 , 1 ,15 ,f0a4 , 1 ,15 
3f1e , 1 ,15 ,bcf8 , 2 ,14 ,e4b2 , 1 ,15 ,2438 , 1 ,15 ,a036 , 1 ,15 ,476c , 2 ,14 ,bddb , 2 ,14 ,d1ce , 1 ,15 
de52 , 1 ,15 ,efc4 , 1 ,15 ,69cc , 1 ,15 ,4d9c , 2 ,14 ,b89a , 2 ,14 ,9976 , 1 ,15 ,e462 , 1 ,15 ,45cc , 2 ,14 
2298 , 1 ,15 ,45d2 , 1 ,15 ,46e2 , 2 ,14 ,439c , 2 ,14 ,d86c , 1 ,15 ,5013 , 2 ,14 ,04b2 , 1 ,15 ,f8a2 , 1 ,15 
6cd8 , 2 ,14 ,65b5 , 2 ,14 ,baac , 1 ,15 ,33d4 , 1 ,15 ,6e8e , 1 ,15 ,b168 , 1 ,15 ,8a60 , 2 ,14 ,7870 , 1 ,15 
19bc , 1 ,15 ,bb0e , 1 ,15 ,b899 , 3 ,13 ,400c , 2 ,14 ,228c , 1 ,15 ,baf0 , 1 ,15 ,1c48 , 1 ,15 ,b1df , 2 ,14 
1062 , 1 ,15 ,1094 , 1 ,15 ,518c , 1 ,15 ,890a , 1 ,15 ,7098 , 1 ,15 ,56d8 , 1 ,15 ,3d50 , 1 ,15 ,8fa0 , 2 ,14 
bd1c , 3 ,13 ,7c4c , 1 ,15 ,7be9 , 2 ,14 ,ab00 , 2 ,14 ,266c , 1 ,15 ,e34a , 1 ,15 ,6fb6 , 1 ,15 ,7154 , 2 ,14 
8b8e , 2 ,14 ,7c47 , 2 ,14 ,39f0 , 1 ,15 ,3828 , 1 ,15 ,3390 , 1 ,15 ,d900 , 1 ,15 ,4b60 , 1 ,15 ,1ae0 , 1 ,15 
f45c , 1 ,15 ,a128 , 2 ,14 ,b046 , 1 ,15 ,b620 , 2 ,14 ,0250 , 1 ,15 ,b924 , 1 ,15 ,4b13 , 2 ,14 ,117e , 1 ,15 
6f6e , 1 ,15 ,f07e , 1 ,15 ,55c4 , 1 ,15 ,b93c , 2 ,14 ,260e , 1 ,15 ,877e , 1 ,15 ,fb2e , 1 ,15 ,bc1c , 1 ,15 
47b6 , 1 ,15 ,feb8 , 1 ,15 ,41e6 , 1 ,15 ,4d8b , 2 ,14 ,b42c , 1 ,15 ,39be , 1 ,15 ,ff5e , 1 ,15 ,ff6c , 1 ,15 
6272 , 2 ,14 ,86a2 , 1 ,15 ,6178 , 1 ,15 ,c5a8 , 1 ,15 ,9b4a , 1 ,15 ,bf2c , 1 ,15 ,a000 , 2 ,14 ,fb38 , 1 ,15 
f080 , 1 ,15 ,f3d2 , 1 ,15 ,45c3 , 2 ,14 ,0c8e , 1 ,15 ,2e26 , 1 ,15 ,fa42 , 1 ,15 ,38bc , 1 ,15 ,9d7f , 2 ,14 
b9f4 , 1 ,15 ,69a8 , 2 ,14 ,024a , 1 ,15 ,ae78 , 3 ,13 ,33ce , 1 ,15 ,ef12 , 1 ,15 ,0fe4 , 1 ,15 ,9224 , 1 ,15 
